"statsbomb_id","wyscout_id"
3925227,5551642
3925226,5551641
3925228,5551644
3925230,5551643
3925232,5551646
3925233,5551645
3925231,5551647
3925229,5551648
3925235,5551649
3925234,5551650
3925236,5551652
3925237,5551651
3925244,5551654
3925240,5551653
3925242,5551659
3925241,5551658
3925243,5551657
3925238,5551655
3925239,5551656
3925245,5551660
3925250,5551664
3925254,5551668
3925249,5551663
3925247,5551661
3925252,5551666
3925253,5551667
3925246,5551669
3925251,5551665
3925255,5551670
3925259,5551673
3925262,5551676
3925260,5551674
3925258,5551672
3925257,5551671
3925261,5551675
3925256,5551677
3925263,5551679
3925265,5551678
3925264,5551680
3925266,5551681
3925271,5551685
3925270,5551683
3925269,5551682
3925267,5551690
3925268,5551689
3925273,5551686
3925275,5551688
3925274,5551687
3925272,5551684
3925279,5551698
3925281,5551696
3925283,5551693
3925285,5551691
3925280,5551697
3925282,5551695
3925276,5551692
3925278,5551699
3925284,5551694
3925277,5551700
3925286,5551701
3925295,5551709
3925289,5551703
3925294,5551708
3925290,5551704
3925288,5551702
3925291,5551705
3925292,5551706
3925287,5551710
3925293,5551707
3925248,5551662
3925296,5551711
3925298,5551714
3925304,5551716
3925303,5551718
3925297,5551713
3925299,5551715
3925301,5551717
3925300,5551719
3925302,5551712
3925305,5551720
3925313,5551728
3925310,5551725
3925312,5551727
3925308,5551723
3925307,5551721
3925311,5551726
3925309,5551724
3925315,5551729
3925314,5551730
3925316,5551734
3925318,5551732
3925319,5551733
3925317,5551735
3925320,5551731
3925324,5551736
3925321,5551739
3925322,5551740
3925325,5551738
3925323,5551737
3925331,5551747
3925334,5551750
3925335,5551742
3925330,5551746
3925326,5551741
3925333,5551749
3925329,5551745
3925328,5551744
3925332,5551748
3925327,5551743
3925342,5551755
3925341,5551756
3925344,5551753
3925343,5551754
3925339,5551758
3925340,5551757
3925338,5551759
3925337,5551760
3925345,5551751
3925336,5551752
3925347,5551766
3925352,5551767
3925349,5551763
3925353,5551768
3925348,5551762
3925350,5551764
3925351,5551765
3925354,5551769
3925355,5551770
3925363,5551773
3925365,5551771
3925359,5551777
3925358,5551778
3925361,5551775
3925360,5551776
3925356,5551780
3925362,5551774
3925364,5551772
3925357,5551779
3925366,5551781
3925367,5551782
3925369,5551785
3925370,5551786
3925373,5551784
3925371,5551787
3925368,5551790
3925375,5551789
3925372,5551788
3925374,5551783
3925379,5551791
3925380,5551793
3925377,5551795
3925376,5551792
3925385,5551797
3925384,5551796
3925382,5551799
3925381,5551798
3925383,5551800
3925306,5551722
3925386,5551801
3925391,5551807
3925392,5551806
3925388,5551802
3925390,5551804
3925387,5551805
3925389,5551803
3925394,5551810
3925393,5551809
3925395,5551808
3925398,5551814
3925399,5551813
3925397,5551811
3925405,5551815
3925396,5551812
3925403,5551817
3925400,5551816
3925402,5551818
3925401,5551819
3925404,5551820
3925346,5551761
3925406,5551822
3925413,5551828
3925412,5551827
3925407,5551821
3925409,5551824
3925414,5551829
3925408,5551823
3925411,5551826
3925410,5551825
3925415,5551830
3925418,5551833
3925421,5551839
3925423,5551837
3925416,5551832
3925425,5551835
3925422,5551838
3925419,5551831
3925417,5551834
3925424,5551836
3925420,5551840
3925426,5551842
3925427,5551841
3925428,5551843
3925433,5551848
3925429,5551847
3925431,5551845
3925435,5551850
3925430,5551844
3925434,5551849
3925432,5551846
3925378,5551794
3925436,5551851
3925443,5551853
3925442,5551854
3925439,5551857
3925438,5551852
3925437,5551859
3925440,5551856
3925444,5551858
3925441,5551855
3925445,5551860
3925447,5551861
3925446,5551862
3925448,5551863
3925450,5551865
3925451,5551866
3925454,5551869
3925453,5551867
3925449,5551864
3925452,5551868
3925455,5551870
3925464,5551879
3925461,5551876
3925460,5551875
3925458,5551872
3925462,5551877
3925457,5551871
3925456,5551873
3925463,5551878
3925459,5551874
3925465,5551880
3925472,5551884
3925474,5551882
3925468,5551888
3925469,5551887
3925470,5551886
3925466,5551890
3925473,5551883
3925475,5551881
3925471,5551885
3925476,5551891
3925478,5551894
3925477,5551892
3925484,5551895
3925482,5551897
3925481,5551898
3925480,5551899
3925479,5551893
3925483,5551896
3925485,5551900
3925486,5551901
3925490,5551904
3925488,5551902
3925495,5551910
3925487,5551906
3925492,5551907
3925491,5551905
3925494,5551909
3925489,5551903
3925493,5551908
3925498,5551914
3925500,5551911
3925499,5551915
3925497,5551913
3925502,5551918
3925503,5551919
3925504,5551920
3925505,5551916
3925501,5551917
3925509,5551928
3925508,5551921
3925507,5551923
3925506,5551922
3925514,5551930
3925515,5551929
3925512,5551925
3925511,5551926
3925510,5551927
3925496,5551912
3925536,5551953
3925535,5551941
3925531,5551947
3925528,5551944
3925526,5551942
3925525,5551932
3925524,5551933
3925523,5551934
3925522,5551935
3925521,5551936
3925520,5551937
3925519,5551938
3925518,5551939
3925517,5551940
3925516,5551931
3925513,5551924
3925554,5551970
3925552,5551968
3925551,5551967
3925550,5551966
3925548,5551964
3925547,5551963
3925546,5551961
3925545,5551960
3925544,5551959
3925543,5551958
3925542,5551957
3925541,5551956
3925540,5551955
3925539,5551954
3925538,5551952
3925537,5551951
3925570,5551984
3925569,5551983
3925568,5551982
3925567,5551981
3925566,5551988
3925565,5551972
3925564,5551980
3925563,5551979
3925562,5551978
3925561,5551977
3925560,5551976
3925559,5551975
3925558,5551974
3925557,5551973
3925556,5551971
3925555,5551962
3925586,5552002
3925585,5551991
3925584,5551993
3925583,5551994
3925582,5551992
3925581,5551995
3925580,5552000
3925579,5551999
3925578,5551998
3925577,5551997
3925576,5551996
3925575,5551990
3925574,5551989
3925573,5551987
3925572,5551986
3925571,5551985
3925602,5552017
3925601,5552012
3925600,5552016
3925599,5552015
3925598,5552014
3925597,5552013
3925596,5552011
3925595,5552010
3925594,5552009
3925593,5552008
3925592,5552007
3925591,5552006
3925590,5552005
3925589,5552004
3925588,5552003
3925587,5552001
3925605,5552020
3925604,5552019
3925603,5552018
3925529,5551945
3925532,5551948
3925527,5551943
3925533,5551949
3925530,5551946
3925534,5551950
3925549,5551965
3925553,5551969
3925467,5551889
